source	target	ligand	receptor	prob	pval	interaction_name	interaction_name_2	pathway_name
C9	C7	FGF7	FGFR1	1.27E-05	0	FGF7_FGFR1	FGF7 - FGFR1	FGF
C9	C9	FGF7	FGFR1	0.000138443	0	FGF7_FGFR1	FGF7 - FGFR1	FGF
C2	C7	FGF18	FGFR1	4.09E-05	0	FGF18_FGFR1	FGF18 - FGFR1	FGF
C5	C7	FGF18	FGFR1	4.67E-05	0	FGF18_FGFR1	FGF18 - FGFR1	FGF
C7	C7	FGF18	FGFR1	0.00012738	0	FGF18_FGFR1	FGF18 - FGFR1	FGF
C2	C9	FGF18	FGFR1	0.00032672	0	FGF18_FGFR1	FGF18 - FGFR1	FGF
C5	C9	FGF18	FGFR1	0.000227851	0	FGF18_FGFR1	FGF18 - FGFR1	FGF
C7	C9	FGF18	FGFR1	0.000247849	0	FGF18_FGFR1	FGF18 - FGFR1	FGF
C9	C5	IGF1	IGF1R	1.20E-05	0	IGF1_IGF1R	IGF1 - IGF1R	IGF
C9	C9	IGF1	IGF1R	1.48E-05	0	IGF1_IGF1R	IGF1 - IGF1R	IGF
C7	C2	NAMPT	INSR	4.41E-06	0	NAMPT_INSR	NAMPT - INSR	VISFATIN
C7	C7	NAMPT	INSR	2.23E-05	0	NAMPT_INSR	NAMPT - INSR	VISFATIN
C9	C7	ANGPTL4	SDC2	6.03E-05	0	ANGPTL4_SDC2	ANGPTL4 - SDC2	ANGPTL
C9	C9	ANGPTL4	SDC2	0.001208185	0	ANGPTL4_SDC2	ANGPTL4 - SDC2	ANGPTL
C9	C9	ANGPTL4	SDC3	0.000105221	0	ANGPTL4_SDC3	ANGPTL4 - SDC3	ANGPTL
C9	C5	ANGPTL4	SDC4	3.47E-05	0	ANGPTL4_SDC4	ANGPTL4 - SDC4	ANGPTL
C9	C7	ANGPTL4	SDC4	0.000226055	0	ANGPTL4_SDC4	ANGPTL4 - SDC4	ANGPTL
C2	C7	MDK	SDC2	5.60E-05	0	MDK_SDC2	MDK - SDC2	MK
C5	C7	MDK	SDC2	5.83E-06	0	MDK_SDC2	MDK - SDC2	MK
C6	C7	MDK	SDC2	4.08E-05	0	MDK_SDC2	MDK - SDC2	MK
C7	C7	MDK	SDC2	0.000211426	0	MDK_SDC2	MDK - SDC2	MK
C9	C7	MDK	SDC2	0.000246919	0	MDK_SDC2	MDK - SDC2	MK
C2	C9	MDK	SDC2	0.000822254	0	MDK_SDC2	MDK - SDC2	MK
C5	C9	MDK	SDC2	5.24E-05	0	MDK_SDC2	MDK - SDC2	MK
C6	C9	MDK	SDC2	0.000256463	0	MDK_SDC2	MDK - SDC2	MK
C7	C9	MDK	SDC2	0.000755761	0	MDK_SDC2	MDK - SDC2	MK
C9	C9	MDK	SDC2	0.004923521	0	MDK_SDC2	MDK - SDC2	MK
C2	C5	MDK	SDC4	6.56E-05	0	MDK_SDC4	MDK - SDC4	MK
C5	C5	MDK	SDC4	5.80E-06	0	MDK_SDC4	MDK - SDC4	MK
C6	C5	MDK	SDC4	1.51E-05	0	MDK_SDC4	MDK - SDC4	MK
C7	C5	MDK	SDC4	4.84E-05	0	MDK_SDC4	MDK - SDC4	MK
C9	C5	MDK	SDC4	0.000141905	0	MDK_SDC4	MDK - SDC4	MK
C2	C7	MDK	SDC4	0.00020996	0	MDK_SDC4	MDK - SDC4	MK
C5	C7	MDK	SDC4	2.19E-05	0	MDK_SDC4	MDK - SDC4	MK
C6	C7	MDK	SDC4	0.000152939	0	MDK_SDC4	MDK - SDC4	MK
C7	C7	MDK	SDC4	0.000792204	0	MDK_SDC4	MDK - SDC4	MK
C9	C7	MDK	SDC4	0.000923876	0	MDK_SDC4	MDK - SDC4	MK
C2	C2	MDK	LRP1	0.000544412	0	MDK_LRP1	MDK - LRP1	MK
